,Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Weather
0,1092,D1,2011,2012-03-31,Nurnberg,Bayern Munich,0,1,A,rain
1,1093,D1,2011,2011-12-11,Stuttgart,Bayern Munich,1,2,A,partly-cloudy-day
2,1094,D1,2011,2011-08-13,Wolfsburg,Bayern Munich,0,1,A,partly-cloudy-day
3,1095,D1,2011,2011-11-27,Mainz,Bayern Munich,3,2,H,wind
4,1096,D1,2011,2012-02-18,Freiburg,Bayern Munich,0,0,D,partly-cloudy-day
5,1097,D1,2011,2012-01-20,M'gladbach,Bayern Munich,3,1,H,rain
6,1098,D1,2011,2012-02-04,Hamburg,Bayern Munich,1,1,D,partly-cloudy-day
7,1099,D1,2011,2012-04-21,Werder Bremen,Bayern Munich,1,2,A,partly-cloudy-day
8,1100,D1,2011,2011-09-18,Schalke 04,Bayern Munich,0,2,A,rain
9,1101,D1,2011,2011-10-23,Hannover,Bayern Munich,2,1,H,clear
10,1102,D1,2011,2011-10-01,Hoffenheim,Bayern Munich,0,0,D,clear
11,1103,D1,2011,2012-03-03,Leverkusen,Bayern Munich,2,0,H,clear
12,1104,D1,2011,2011-08-27,Kaiserslautern,Bayern Munich,0,3,A,partly-cloudy-day
13,1105,D1,2011,2012-03-17,Hertha,Bayern Munich,0,6,A,clear
14,1106,D1,2011,2011-11-06,Augsburg,Bayern Munich,1,2,A,clear
15,1107,D1,2011,2012-05-05,FC Koln,Bayern Munich,1,4,A,rain
16,1108,D1,2011,2012-04-11,Dortmund,Bayern Munich,1,0,H,partly-cloudy-day
17,1109,D1,2011,2011-08-27,Leverkusen,Dortmund,0,0,D,partly-cloudy-day
18,1110,D1,2011,2011-12-17,Freiburg,Dortmund,1,4,A,rain
19,1111,D1,2011,2012-02-18,Hertha,Dortmund,0,1,A,partly-cloudy-day
20,1112,D1,2011,2012-02-03,Nurnberg,Dortmund,0,2,A,partly-cloudy-day
21,1113,D1,2011,2011-08-13,Hoffenheim,Dortmund,1,0,H,partly-cloudy-day
22,1114,D1,2011,2011-10-29,Stuttgart,Dortmund,1,1,D,clear
23,1115,D1,2011,2012-01-22,Hamburg,Dortmund,1,5,A,rain
24,1116,D1,2011,2011-12-03,M'gladbach,Dortmund,1,1,D,rain
25,1117,D1,2011,2012-04-14,Schalke 04,Dortmund,1,2,A,clear
26,1118,D1,2011,2011-09-18,Hannover,Dortmund,2,1,H,rain
27,1119,D1,2011,2012-03-25,FC Koln,Dortmund,1,6,A,partly-cloudy-day
28,1120,D1,2011,2012-03-10,Augsburg,Dortmund,0,0,D,partly-cloudy-day
29,1121,D1,2011,2012-04-07,Wolfsburg,Dortmund,1,3,A,partly-cloudy-day
30,1122,D1,2011,2011-11-19,Bayern Munich,Dortmund,0,1,A,partly-cloudy-day
31,1123,D1,2011,2011-10-14,Werder Bremen,Dortmund,0,2,A,clear
32,1124,D1,2011,2011-09-24,Mainz,Dortmund,1,2,A,clear
33,1125,D1,2011,2012-04-28,Kaiserslautern,Dortmund,2,5,A,clear
